mid,event_type,from_team,time
342,3,dire,3
343,3,dire,248
343,6,radiant,409
344,3,dire,52
345,3,radiant,114
345,6,radiant,445
346,3,radiant,27
347,3,radiant,114
348,3,dire,19
349,3,radiant,111
349,6,dire,551
349,6,radiant,579
350,3,radiant,113
351,3,radiant,-10
352,3,radiant,17
353,3,dire,403
353,6,radiant,538
354,3,dire,79
355,3,dire,138
355,6,dire,467
355,6,dire,540
356,3,dire,-7
357,3,dire,103
358,3,radiant,195
359,3,dire,98
360,3,radiant,57
360,6,radiant,517
360,6,dire,560
361,3,radiant,155
362,3,radiant,10
362,6,radiant,410
363,3,radiant,86
364,3,radiant,115
364,6,dire,454
364,6,radiant,585
365,3,radiant,86
366,3,radiant,60
367,3,radiant,65
369,3,radiant,13
369,5,dire,566
370,3,dire,4
370,0,dire,365
370,4,dire,365
370,6,radiant,562
371,3,radiant,43
372,3,radiant,109
373,3,radiant,4
373,6,dire,579
374,3,radiant,109
374,6,radiant,456
375,3,dire,213
376,3,dire,4
376,6,radiant,522
376,6,radiant,585
376,6,dire,586
377,3,radiant,130
377,6,radiant,563
378,3,dire,189
378,6,radiant,488
379,3,radiant,161
379,6,radiant,557
379,6,radiant,598
380,3,dire,235
381,3,radiant,571
382,3,radiant,144
383,3,dire,9
383,6,radiant,386
383,5,dire,539
384,3,dire,170
384,6,dire,479
385,3,radiant,102
385,6,dire,553
386,3,radiant,158
387,3,dire,173
388,3,radiant,82
389,3,radiant,9
389,5,dire,526
389,5,dire,567
390,3,radiant,-1
390,6,dire,553
391,3,dire,46
392,3,radiant,4
393,3,radiant,3
394,3,dire,91
395,3,radiant,74
396,3,dire,7
396,6,dire,569
397,3,radiant,165
398,3,radiant,126
398,6,dire,592
399,3,radiant,-4
400,3,radiant,388
401,3,radiant,96
401,6,radiant,345
402,3,dire,8
403,3,radiant,55
404,3,dire,195
405,3,radiant,48
406,3,radiant,4
407,3,radiant,2
408,3,dire,21
409,3,radiant,148
409,6,radiant,534
410,3,dire,58
411,3,dire,94
411,6,dire,505
412,3,dire,134
413,3,radiant,69
413,6,dire,267
413,6,radiant,576
414,3,radiant,12
414,5,radiant,498
415,3,dire,42
416,3,radiant,146
416,6,dire,538
417,3,dire,15
418,3,dire,198
419,3,radiant,188
419,6,radiant,489
420,3,radiant,22
421,3,radiant,145
421,5,dire,531
422,3,radiant,72
423,3,radiant,293
423,6,radiant,527
424,3,radiant,233
425,3,radiant,42
426,3,dire,-6
427,3,radiant,122
427,5,dire,552
427,6,dire,570
428,3,radiant,131
429,3,radiant,4
430,3,dire,91
431,3,dire,143
432,3,dire,50
433,3,radiant,119
433,6,dire,530
434,3,radiant,36
435,3,radiant,113
435,6,radiant,548
436,3,radiant,81
437,3,dire,-5
437,6,radiant,560
438,3,dire,101
439,3,dire,2
440,3,dire,55
441,3,radiant,254
442,3,radiant,151
443,3,dire,93
444,3,dire,206
445,3,radiant,25
446,3,radiant,-2
446,6,dire,516
447,3,radiant,90
448,3,dire,4
449,3,radiant,241
449,6,radiant,533
450,3,radiant,141
451,3,dire,144
451,6,radiant,397
452,3,dire,53
453,3,dire,224
454,3,dire,72
455,3,dire,116
456,3,radiant,-2
457,3,radiant,-6
458,3,radiant,56
458,6,radiant,558
459,3,dire,498
460,3,radiant,10
461,3,dire,141
462,3,dire,70
463,3,radiant,1
463,6,radiant,391
464,3,dire,79
465,3,radiant,105
465,6,dire,449
465,6,dire,513
466,3,radiant,-9
467,3,dire,5
468,3,radiant,6
468,6,radiant,550
469,3,radiant,8
469,6,dire,493
469,6,dire,520
470,3,radiant,97
471,3,dire,9
471,6,dire,530
472,3,radiant,12
472,6,dire,403
473,3,radiant,233
473,6,radiant,326
473,6,radiant,432
474,3,dire,113
475,3,dire,202
476,3,dire,52
477,3,dire,119
477,6,radiant,339
478,3,radiant,70
478,6,radiant,414
478,5,radiant,574
479,3,radiant,154
480,3,dire,59
481,3,dire,99
482,3,radiant,181
483,3,dire,11
484,3,dire,5
485,3,dire,4
485,6,radiant,594
486,3,radiant,74
487,3,radiant,-5
488,3,radiant,274
489,3,dire,13
490,3,dire,3
490,6,radiant,463
491,3,dire,69
491,6,dire,539
491,6,dire,540
492,3,dire,3
492,5,dire,577
493,3,dire,9
493,6,dire,502
494,3,radiant,9
495,3,radiant,137
496,3,dire,17
497,3,radiant,4
498,3,dire,-4
499,3,dire,-11
500,3,dire,64
500,5,dire,599
501,3,dire,8
501,4,dire,578
501,0,dire,579
502,3,radiant,93
503,3,dire,80
503,6,dire,594
503,6,dire,596
504,3,dire,12
504,6,dire,513
505,3,radiant,181
506,3,dire,66
507,3,dire,134
508,3,radiant,72
509,3,dire,148
510,3,dire,5
511,3,radiant,181
512,3,dire,6
513,3,radiant,163
513,6,radiant,553
514,3,radiant,84
514,6,dire,596
515,3,radiant,4
516,3,radiant,88
516,6,dire,436
517,3,radiant,118
518,3,dire,124
518,6,dire,519
519,3,radiant,215
520,3,dire,29
520,6,radiant,444
520,6,dire,503
521,3,radiant,-4
521,6,dire,567
522,3,radiant,-20
523,3,radiant,43
524,3,radiant,109
525,3,radiant,53
525,6,radiant,482
526,3,radiant,-12
526,6,radiant,515
527,3,radiant,17
527,6,dire,589
528,3,dire,225
529,3,dire,12
529,6,radiant,552
530,3,radiant,411
531,3,radiant,20
532,3,dire,190
532,4,radiant,548
532,0,radiant,548
533,3,radiant,246
534,3,radiant,110
535,3,dire,0
535,6,radiant,457
536,3,dire,63
537,3,radiant,107
538,3,radiant,173
539,3,dire,-3
540,3,dire,201
541,3,dire,30
542,3,dire,10
542,6,dire,532
543,3,radiant,84
544,3,dire,318
544,6,radiant,518
545,3,dire,224
545,6,radiant,590
546,3,radiant,183
546,5,dire,484
547,3,radiant,187
547,6,radiant,583
548,3,dire,205
549,3,dire,245
549,5,radiant,515
550,3,dire,213
550,6,dire,452
550,6,radiant,492
551,3,dire,13
551,6,dire,555
552,3,radiant,61
553,3,dire,5
554,3,radiant,356
554,6,dire,532
555,3,dire,229
556,3,dire,60
556,6,radiant,594
557,3,dire,110
557,6,dire,508
558,3,radiant,62
559,3,radiant,170
559,6,dire,510
560,3,dire,106
561,3,radiant,3
561,6,radiant,548
562,3,radiant,189
563,3,radiant,-3
564,3,dire,220
565,3,dire,2
566,3,dire,197
567,3,dire,220
568,3,radiant,177
569,3,radiant,66
570,3,radiant,64
570,4,dire,459
570,0,dire,461
571,3,radiant,100
571,6,radiant,427
572,3,dire,259
572,6,radiant,529
573,3,dire,16
573,6,radiant,526
574,3,radiant,87
575,3,dire,172
576,3,dire,191
577,3,dire,269
578,3,dire,52
579,3,radiant,90
579,6,dire,568
580,3,radiant,154
581,3,dire,17
582,3,radiant,114
583,3,dire,118
584,3,dire,54
585,3,dire,48
586,3,radiant,2
587,3,dire,45
588,3,dire,16
589,3,dire,46
589,6,dire,579
590,3,dire,2
591,3,radiant,-27
592,3,radiant,74
592,6,dire,412
593,3,radiant,140
594,3,dire,3
595,3,radiant,17
596,3,dire,93
596,5,dire,446
596,6,radiant,545
598,3,dire,42
599,3,dire,20
600,3,dire,249
601,3,radiant,130
602,3,radiant,4
602,6,radiant,509
602,6,dire,514
603,3,dire,131
603,6,dire,434
603,6,dire,550
604,3,radiant,7
605,3,radiant,198
605,6,dire,357
606,3,radiant,105
606,6,dire,579
607,3,dire,41
608,3,dire,164
609,3,radiant,97
610,3,radiant,4
610,6,radiant,437
611,3,radiant,14
611,6,radiant,525
612,3,radiant,175
612,6,radiant,465
612,6,radiant,530
612,6,radiant,574
613,3,dire,15
614,3,radiant,-8
615,3,dire,54
616,3,radiant,7
617,3,dire,259
618,3,radiant,-3
619,3,radiant,75
619,6,radiant,488
619,6,radiant,558
620,3,radiant,4
620,6,dire,454
621,3,dire,122
622,3,radiant,-24
623,3,dire,6
623,6,dire,541
624,3,dire,11
625,3,radiant,284
625,5,radiant,490
626,3,radiant,17
627,3,radiant,130
628,3,dire,42
629,3,dire,206
630,3,radiant,166
631,3,radiant,6
632,3,radiant,49
632,6,radiant,557
633,3,dire,110
633,6,radiant,504
634,3,radiant,98
634,6,radiant,501
634,6,radiant,549
635,3,radiant,32
636,3,radiant,80
637,3,radiant,0
638,3,radiant,59
639,3,radiant,150
640,3,dire,136
641,3,dire,166
642,3,radiant,166
643,3,dire,-18
644,3,dire,148
645,3,dire,63
646,3,dire,117
647,5,radiant,236
648,3,dire,148
648,6,radiant,523
649,3,dire,97
650,3,radiant,144
651,3,radiant,-5
651,6,dire,564
652,3,dire,159
653,3,radiant,264
654,3,radiant,171
655,0,dire,463
655,4,dire,463
655,6,radiant,588
656,3,radiant,31
657,3,dire,97
657,5,dire,587
658,3,radiant,317
658,5,dire,487
659,3,dire,168
660,3,dire,87
660,6,dire,322
660,6,radiant,553
661,3,dire,251
661,6,radiant,519
662,3,dire,49
662,6,dire,553
663,3,dire,27
664,3,radiant,-6
665,3,radiant,141
666,3,dire,97
666,6,dire,554
667,3,dire,17
668,3,dire,-13
670,3,dire,137
671,3,dire,171
671,6,dire,456
671,4,dire,530
671,0,dire,531
671,6,radiant,540
672,3,radiant,8
672,5,dire,580
673,3,radiant,187
674,3,dire,143
675,3,radiant,2
676,3,dire,342
677,3,radiant,124
677,6,dire,549
678,3,radiant,4
679,3,dire,143
679,6,dire,454
680,3,radiant,132
681,3,dire,143
681,6,radiant,475
682,3,radiant,1
683,3,radiant,68
684,6,dire,485
685,3,radiant,49
685,6,dire,511
686,3,dire,88
687,3,radiant,4
688,3,dire,3
689,4,dire,9
689,0,dire,9
689,3,dire,20
690,3,radiant,-1
690,6,radiant,547
691,3,dire,140
692,3,radiant,17
693,3,radiant,14
693,5,dire,435
694,3,radiant,72
695,3,dire,418
696,3,dire,69
697,3,radiant,140
698,3,dire,75
699,3,radiant,77
700,3,dire,-5
701,3,radiant,177
702,3,dire,105
703,3,radiant,8
703,6,dire,291
704,3,dire,41
704,6,dire,568
706,3,dire,79
706,6,radiant,581
707,3,dire,6
707,6,radiant,514
708,3,radiant,120
709,3,radiant,181
710,3,dire,3
710,6,radiant,582
711,3,dire,99
712,3,dire,203
713,3,dire,79
714,3,dire,213
714,6,radiant,419
715,3,dire,7
715,6,dire,559
716,3,radiant,105
717,3,radiant,5
718,3,radiant,16
719,3,dire,16
719,5,radiant,549
720,3,radiant,3
721,6,radiant,521
722,3,dire,329
723,3,radiant,96
723,6,dire,498
724,3,radiant,12
725,3,radiant,55
725,6,dire,593
726,3,radiant,202
727,3,dire,-4
728,3,dire,7
729,3,radiant,372
729,6,dire,466
729,6,radiant,467
730,3,dire,23
730,6,radiant,551
731,3,dire,30
732,3,radiant,71
733,3,radiant,292
734,3,dire,55
735,3,radiant,150
736,3,dire,-11
736,6,dire,458
736,6,dire,589
737,3,radiant,-11
737,6,radiant,475
738,3,radiant,289
739,3,radiant,563
740,3,dire,3
741,3,radiant,66
742,3,dire,81
743,3,radiant,-4
743,6,radiant,588
744,3,radiant,3
745,3,radiant,60
746,3,dire,1
747,3,dire,136
747,6,dire,507
748,3,dire,41
749,3,radiant,263
749,6,radiant,470
750,3,radiant,-5
751,3,radiant,169
751,6,radiant,505
752,3,dire,8
752,6,dire,561
753,3,dire,-5
754,3,dire,86
755,3,radiant,184
755,6,radiant,317
756,3,radiant,164
756,6,dire,400
756,6,dire,463
757,3,radiant,110
759,3,dire,112
759,6,radiant,447
760,3,dire,5
761,3,radiant,204
761,6,dire,536
762,3,dire,10
762,6,dire,324
762,6,radiant,561
763,3,radiant,192
763,6,dire,509
764,3,radiant,5
764,6,dire,557
765,3,dire,155
766,3,radiant,114
767,3,dire,79
767,6,dire,481
767,6,radiant,575
768,3,dire,94
769,3,dire,8
769,6,radiant,368
770,3,radiant,180
770,6,dire,326
771,3,dire,24
772,3,radiant,171
772,6,radiant,456
773,3,radiant,7
774,3,radiant,9
775,3,radiant,261
776,3,dire,50
777,3,dire,17
779,3,dire,117
780,3,radiant,82
781,3,dire,222
782,3,radiant,54
783,3,radiant,87
783,6,dire,555
784,3,dire,24
784,6,radiant,554
785,3,dire,154
786,3,radiant,173
787,3,dire,107
788,3,dire,86
788,6,radiant,544
789,3,radiant,3
790,3,radiant,18
791,3,dire,14
792,3,radiant,7
793,3,dire,187
794,3,dire,129
794,6,dire,492
794,6,dire,566
795,3,radiant,104
795,6,dire,519
796,3,radiant,256
797,3,dire,100
798,3,dire,404
799,3,radiant,269
799,6,dire,531
800,3,radiant,117
800,6,radiant,373
801,3,dire,118
801,6,radiant,527
802,3,radiant,331
803,3,dire,89
803,5,radiant,513
803,5,dire,544
804,3,dire,25
804,6,radiant,337
805,3,radiant,516
806,3,dire,130
806,4,dire,291
806,0,dire,292
807,3,dire,83
808,3,radiant,2
808,6,radiant,565
809,3,dire,3
809,4,radiant,560
809,0,radiant,560
809,6,dire,568
810,3,dire,259
811,3,dire,269
812,3,radiant,-2
812,6,radiant,512
813,3,radiant,227
814,3,radiant,102
815,3,radiant,108
816,3,radiant,55
816,6,dire,446
816,6,radiant,466
817,3,dire,130
818,3,dire,106
819,3,dire,20
820,3,radiant,282
821,3,dire,16
822,3,dire,7
823,3,dire,20
824,3,radiant,164
825,3,dire,154
825,5,radiant,502
826,3,radiant,18
826,6,dire,468
827,3,radiant,18
827,6,radiant,586
828,3,dire,236
829,3,dire,75
830,3,dire,159
831,3,dire,161
832,3,dire,183
833,3,dire,5
834,3,dire,24
835,3,dire,79
836,3,dire,20
837,3,dire,84
838,3,dire,115
839,3,radiant,242
839,6,radiant,366
840,3,radiant,89
840,6,radiant,341
841,3,dire,193
841,5,radiant,327
842,3,dire,39
843,3,radiant,2
844,3,radiant,139
844,6,dire,528
845,3,dire,13
846,3,radiant,4
847,3,radiant,67
847,6,dire,555
847,6,radiant,560
848,3,radiant,217
849,3,dire,189
850,3,radiant,17
850,6,dire,552
851,3,dire,80
851,6,dire,596
852,3,radiant,63
853,3,dire,120
854,3,radiant,50
855,3,dire,1
855,6,dire,230
855,6,dire,562
856,3,dire,68
857,3,dire,199
858,3,radiant,146
858,6,dire,490
859,3,radiant,-20
859,5,radiant,513
860,3,radiant,79
861,3,dire,1
862,3,dire,-1
862,6,radiant,481
863,3,dire,95
863,6,dire,315
863,6,dire,478
864,3,dire,157
865,3,dire,64
866,3,dire,33
866,6,dire,404
867,3,dire,2
867,6,dire,558
868,3,dire,105
868,6,radiant,569
869,3,radiant,47
870,3,dire,69
871,3,radiant,108
872,3,dire,13
873,3,radiant,144
873,6,radiant,527
873,6,radiant,561
874,3,dire,56
875,3,radiant,9
876,3,radiant,95
877,3,dire,168
878,3,radiant,125
879,3,dire,2
879,5,dire,523
880,3,dire,-1
881,3,dire,46
882,3,dire,275
883,3,radiant,109
884,3,dire,0
885,3,radiant,7
886,3,radiant,158
887,3,dire,7
888,3,radiant,-8
888,6,radiant,486
889,3,radiant,9
890,3,radiant,175
892,3,radiant,170
892,6,radiant,595
893,3,radiant,89
894,3,dire,124
894,6,radiant,461
894,6,dire,600
895,3,dire,218
896,3,dire,2
896,6,radiant,519
897,3,radiant,21
898,3,dire,4
898,5,radiant,483
899,3,radiant,80
899,6,radiant,466
899,6,radiant,533
900,3,radiant,8
900,6,radiant,386
900,6,radiant,527
901,3,dire,218
902,3,radiant,74
902,5,radiant,557
903,3,dire,47
904,3,radiant,237
904,6,radiant,569
905,5,dire,475
906,3,dire,406
907,5,radiant,595
908,3,radiant,75
909,3,radiant,38
910,6,dire,424
911,3,dire,56
912,3,radiant,51
913,3,radiant,226
914,3,dire,6
914,6,radiant,533
915,3,radiant,125
915,6,dire,582
916,3,radiant,236
917,3,dire,7
918,3,dire,7
919,3,radiant,81
920,3,dire,-12
920,6,radiant,501
921,3,dire,3
922,3,radiant,5
922,6,radiant,494
922,6,radiant,585
923,3,radiant,11
924,3,radiant,226
925,3,radiant,165
925,6,radiant,452
926,3,dire,5
927,3,radiant,22
928,3,dire,87
929,3,dire,147
930,3,radiant,11
931,3,radiant,166
932,3,radiant,91
933,3,dire,20
934,3,radiant,136
935,3,dire,71
936,3,radiant,5
936,6,radiant,497
937,3,radiant,1
938,3,radiant,-1
939,3,radiant,7
939,6,radiant,543
940,3,radiant,0
940,6,radiant,566
940,6,radiant,596
941,3,radiant,6
941,6,radiant,524
942,3,radiant,50
942,6,dire,523
943,3,dire,97
944,3,radiant,196
945,3,radiant,4
946,3,radiant,0
946,6,radiant,531
947,3,dire,23
948,3,dire,172
948,6,dire,459
949,3,dire,109
950,3,dire,27
951,3,radiant,81
952,3,radiant,210
952,6,radiant,463
953,3,radiant,90
954,3,radiant,25
955,3,dire,40
956,3,radiant,12
956,6,dire,465
957,3,radiant,136
957,6,dire,584
958,3,dire,57
959,3,radiant,109
960,3,radiant,34
960,5,radiant,463
961,3,dire,6
962,3,dire,221
963,3,radiant,415
964,3,radiant,243
965,3,dire,203
965,6,radiant,509
965,6,dire,572
966,3,dire,5
966,6,radiant,450
967,3,radiant,264
968,3,radiant,77
969,3,dire,125
970,3,radiant,229
970,6,radiant,532
971,3,dire,155
972,3,dire,110
972,6,dire,437
973,3,radiant,9
974,3,radiant,236
974,6,radiant,516
975,3,radiant,297
976,3,radiant,72
977,3,dire,-7
978,3,dire,224
979,3,dire,187
980,3,dire,190
980,6,dire,470
981,3,dire,72
982,3,dire,59
983,3,radiant,82
984,3,radiant,166
984,6,radiant,444
985,3,dire,31
985,5,dire,475
986,3,dire,101
986,6,dire,514
987,3,dire,6
987,6,radiant,416
988,3,dire,113
989,3,dire,165
990,3,radiant,72
990,6,dire,510
991,3,dire,166
992,3,dire,168
993,3,radiant,18
994,3,radiant,14
995,3,radiant,54
995,6,radiant,474
995,4,radiant,517
995,0,radiant,517
996,3,radiant,76
997,3,radiant,3
997,6,radiant,586
998,3,radiant,33
999,3,radiant,3
1000,3,dire,172
1000,6,radiant,498
1001,3,dire,105
1002,3,dire,45
1003,3,dire,64
1003,6,radiant,492
1004,3,dire,126
1004,6,dire,319
1005,3,radiant,-2
1006,3,dire,217
1006,6,dire,572
1007,3,dire,116
1008,3,dire,109
1009,3,dire,14
1010,3,radiant,4
1011,3,radiant,-9
1012,3,radiant,176
1013,3,radiant,70
1013,6,radiant,527
1014,3,radiant,102
1014,6,radiant,537
1014,6,radiant,540
1015,3,dire,31
1016,3,dire,238
1016,6,radiant,521
1017,3,dire,234
1017,6,radiant,529
1018,3,dire,56
1019,3,dire,17
1020,3,radiant,134
1020,6,radiant,590
1021,3,dire,12
1021,6,radiant,555
1022,3,radiant,196
1023,3,radiant,13
1024,3,radiant,138
1025,3,radiant,3
1025,6,dire,436
1025,6,radiant,463
1026,3,dire,80
1027,3,radiant,167
1028,3,dire,95
1029,3,radiant,7
1030,3,dire,151
1031,3,dire,6
1032,3,radiant,166
1033,3,dire,165
1034,3,radiant,94
1035,3,dire,145
1036,3,radiant,212
1037,3,dire,163
1038,3,dire,59
1038,6,radiant,544
