mid,player_0,player_1,player_2,player_3,player_4,player_5,player_6,player_7,player_8,player_9
228,29,28,46,97,25,69,96,64,32,101
229,86,31,69,67,23,22,57,30,66,91
230,32,73,64,30,19,39,84,96,48,43
231,3,31,53,71,21,39,94,64,47,67
232,68,101,96,31,66,11,109,32,34,65
233,25,29,87,3,99,11,64,7,65,66
234,11,69,24,71,91,20,39,84,3,15
235,66,74,58,19,22,94,96,32,33,11
236,87,27,75,17,41,15,8,47,104,96
237,32,52,59,76,35,64,110,1,16,96
238,40,107,103,53,81,65,41,15,94,90
239,92,32,25,76,94,45,69,5,70,20
240,39,47,2,64,3,75,109,82,15,91
241,70,39,30,64,90,34,1,3,107,19
242,36,57,98,8,55,20,64,61,59,11
243,25,69,19,110,40,36,44,57,32,4
244,107,69,53,104,16,39,108,48,91,55
245,40,15,20,65,3,19,72,29,75,93
246,15,29,39,67,89,24,109,58,21,27
247,97,81,59,82,70,74,42,104,35,26
248,33,109,75,74,13,66,70,4,69,64
249,74,46,61,94,82,12,65,81,64,57
250,20,12,29,64,91,71,66,65,34,69
251,64,60,108,72,97,92,90,94,79,22
252,64,72,66,67,68,82,15,89,87,10
253,1,91,108,24,89,64,3,76,110,72
254,94,109,15,29,40,82,67,64,91,66
255,74,54,86,91,29,64,47,53,81,88
256,24,110,20,31,50,22,36,19,33,92
257,65,88,54,66,11,64,42,60,62,82
258,96,27,69,103,64,49,24,48,11,40
259,49,68,101,102,21,64,58,52,76,3
260,3,64,15,76,67,99,40,65,69,20
261,24,57,47,101,4,71,93,11,107,19
262,67,48,64,41,4,37,1,76,10,55
263,22,110,55,61,38,37,89,101,82,62
264,31,57,15,92,67,88,55,94,34,36
265,106,20,60,101,75,25,64,8,38,58
266,40,74,67,3,52,7,94,15,69,105
267,15,96,98,41,76,64,70,37,4,75
268,76,5,55,22,70,89,102,71,39,75
269,82,104,81,50,108,30,32,74,28,64
270,75,5,50,82,71,64,93,40,29,3
271,20,31,43,49,64,74,99,8,39,48
272,43,66,110,12,15,90,58,86,54,106
273,64,75,41,92,84,69,19,67,24,29
274,8,40,35,72,29,67,3,107,69,74
275,90,3,1,19,75,15,92,64,101,8
276,69,65,104,15,82,64,20,55,84,39
277,79,73,39,65,34,3,15,84,90,52
278,101,89,103,33,29,1,17,82,11,22
279,30,39,16,32,31,43,96,104,94,60
280,67,109,65,84,36,94,1,20,17,75
281,54,64,69,101,81,58,62,67,6,15
282,96,56,53,32,4,8,83,21,59,75
283,105,3,8,64,104,67,50,45,96,6
284,94,98,20,64,52,86,3,105,78,55
285,89,22,36,109,30,26,49,64,104,29
286,15,42,87,69,31,24,54,71,104,74
287,71,64,43,59,36,77,50,21,74,42
288,15,3,67,64,109,48,94,91,86,74
289,70,57,12,3,24,18,55,20,9,39
290,11,21,72,56,90,96,59,57,15,47
291,44,31,81,61,82,76,11,55,89,39
292,53,42,15,19,71,40,68,93,90,65
293,27,8,45,64,87,17,55,50,65,103
294,89,75,46,91,19,69,9,11,24,70
295,52,101,45,81,17,6,15,104,31,11
296,64,57,14,101,91,75,69,74,5,17
297,76,44,65,69,68,13,57,81,27,15
298,49,13,104,64,50,92,67,74,60,22
299,94,39,32,6,73,35,5,104,58,59
300,69,75,101,64,6,49,15,3,107,9
301,58,81,28,70,94,74,53,39,73,59
302,48,94,104,64,57,12,13,71,50,5
303,11,3,16,92,29,71,75,110,82,40
304,80,24,61,66,1,11,92,23,107,25
305,22,34,39,59,17,69,50,37,64,70
306,30,94,1,104,8,52,41,69,82,28
307,11,47,48,66,101,99,64,42,82,19
308,57,7,11,3,86,39,74,72,40,59
309,56,52,38,40,32,67,6,91,70,45
310,25,56,76,15,50,8,109,19,94,68
311,81,82,108,2,24,6,70,107,36,94
312,5,50,106,8,15,57,35,13,11,31
313,79,65,36,64,41,94,75,101,8,66
314,31,32,8,69,39,40,58,84,50,64
315,74,91,56,27,26,35,28,49,68,69
316,110,64,86,107,40,25,69,39,89,52
317,77,88,48,70,1,85,59,61,39,15
318,86,11,20,104,82,31,69,91,33,80
319,92,40,71,24,58,64,19,77,54,3
320,96,42,11,85,20,105,81,24,94,69
321,64,94,8,55,76,62,100,31,80,34
322,19,110,29,3,15,82,61,11,71,24
323,64,31,8,20,52,15,29,37,96,97
324,81,31,60,94,110,70,24,8,86,108
325,89,78,103,17,91,73,93,66,74,72
326,55,26,69,96,94,81,41,62,109,15
327,20,27,75,86,19,40,71,8,55,46
328,66,101,9,64,50,41,74,31,20,86
329,11,20,91,1,60,39,26,47,29,74
330,14,76,72,39,82,17,41,103,32,1
331,64,32,57,69,29,67,82,102,94,86
332,55,42,74,80,31,4,94,15,1,88
333,67,39,11,36,96,54,69,74,84,68
334,35,104,46,85,42,24,82,91,94,40
335,19,3,74,104,8,101,86,40,64,56
336,71,86,104,65,45,20,1,55,76,35
337,48,44,104,9,49,32,55,103,82,91
338,82,5,64,69,36,32,93,75,1,109
339,32,94,101,26,84,40,108,68,69,38
340,32,74,91,31,78,29,37,21,24,103
341,91,101,32,64,40,35,15,66,65,109
342,11,47,71,40,1,108,45,69,8,37
343,15,40,81,52,82,61,67,5,75,72
344,22,104,3,71,15,64,60,75,32,82
345,64,3,101,32,61,52,39,42,27,8
346,64,39,102,32,89,72,59,73,90,8
347,88,8,12,10,62,87,64,68,78,74
348,69,11,52,49,64,99,3,58,82,17
349,15,50,102,44,60,29,109,3,54,34
350,42,64,72,41,66,62,50,67,82,74
351,64,18,40,10,52,15,51,3,71,74
352,97,15,11,90,89,81,74,64,24,39
353,48,81,79,99,20,72,88,35,64,27
354,24,109,17,15,108,39,49,3,89,34
355,94,64,109,66,8,34,16,101,100,104
356,47,82,70,5,3,29,54,88,100,34
357,57,93,22,12,64,88,94,3,77,37
358,74,109,60,12,1,48,81,99,66,8
359,36,24,82,30,39,76,3,50,74,11
360,45,29,101,70,96,33,88,16,55,27
361,40,17,46,57,110,77,66,27,108,39
362,110,64,40,13,11,31,104,96,19,55
363,102,47,29,86,99,90,41,50,32,3
364,91,33,74,72,67,44,45,110,36,3
365,24,103,96,3,56,19,104,47,94,31
366,86,35,8,29,89,15,101,65,90,107
367,18,27,57,76,74,69,15,82,20,47
368,74,1,33,43,6,8,54,32,110,25
369,35,85,4,33,29,58,15,72,60,44
370,4,3,24,72,94,15,40,70,74,64
371,19,3,101,64,15,42,98,57,34,94
372,55,54,3,43,81,104,71,92,34,82
373,86,45,71,3,72,64,40,91,110,14
374,3,29,72,77,21,96,74,32,82,1
375,101,69,76,67,15,57,39,68,106,82
376,101,96,34,8,76,84,4,32,71,3
377,37,92,42,8,34,50,11,69,19,35
378,96,44,68,71,65,70,43,32,57,11
379,39,76,15,108,72,11,28,27,92,6
380,81,50,109,72,8,91,79,15,19,22
381,55,96,67,58,57,65,47,59,4,26
382,104,34,94,25,92,46,107,64,74,19
383,9,68,29,80,31,71,32,101,19,75
384,45,82,103,52,50,20,64,8,27,41
385,76,45,41,50,8,15,3,68,109,11
386,32,19,29,71,64,26,16,27,15,86
387,94,89,3,29,24,64,91,69,104,72
388,40,72,17,8,32,31,69,20,41,28
389,96,66,40,64,53,94,74,60,91,106
390,91,67,31,39,11,15,82,20,23,52
391,63,42,31,25,93,82,66,104,54,81
392,92,27,24,41,72,32,50,51,15,37
393,70,47,11,64,26,1,57,86,56,15
394,72,11,6,109,91,32,15,29,40,94
395,96,51,8,54,94,107,104,74,49,102
396,91,73,66,72,64,96,38,90,67,82
397,13,65,91,110,76,57,82,50,64,74
398,24,75,98,70,32,101,106,94,35,3
399,32,6,57,74,19,45,94,66,107,96
400,56,74,85,39,70,48,20,110,66,80
401,44,9,72,20,76,1,80,67,15,81
402,15,64,3,103,96,80,40,24,94,74
403,64,110,15,57,16,2,51,104,82,36
404,19,9,1,106,33,64,15,32,98,74
405,34,38,54,10,47,82,27,9,70,21
406,82,58,92,89,64,21,54,5,86,35
407,20,34,53,67,86,42,32,91,72,64
408,32,19,67,31,74,109,40,64,94,8
409,86,73,24,32,82,81,88,65,42,19
410,29,32,97,34,20,1,81,44,19,8
411,41,91,69,13,105,76,109,16,6,52
412,24,20,8,86,72,64,82,58,87,89
413,46,71,26,76,64,31,55,66,59,35
414,30,32,14,3,69,82,15,73,66,106
415,3,1,47,40,36,32,29,16,81,92
416,91,82,92,89,107,60,31,4,16,50
417,89,101,15,50,39,96,92,72,40,110
418,32,74,47,4,39,86,15,36,87,56
419,49,66,20,6,81,55,68,71,76,17
420,9,72,69,32,71,76,35,82,104,20
421,64,59,50,38,8,17,32,12,49,9
422,104,74,3,79,96,105,107,11,48,50
423,72,101,55,81,64,70,32,33,47,105
424,107,69,61,31,15,36,82,85,96,91
425,61,64,16,82,81,94,34,92,76,29
426,89,15,91,92,74,69,61,24,108,101
427,109,1,15,108,71,38,94,55,90,52
428,40,75,25,8,58,74,101,44,81,104
429,55,92,48,3,1,86,88,35,42,82
430,32,75,23,11,96,64,97,20,37,24
431,103,96,32,76,4,19,57,1,42,36
432,68,84,80,50,106,46,64,103,12,75
433,8,34,20,66,99,26,49,9,94,76
434,109,17,96,30,72,40,94,82,76,16
435,68,26,27,89,59,72,94,44,69,74
436,75,64,32,65,103,71,44,15,86,74
437,96,64,11,110,31,72,93,48,94,75
438,101,86,35,87,79,19,72,57,11,3
439,75,99,17,23,101,72,19,15,96,33
440,71,69,75,31,15,101,104,48,64,8
441,39,19,24,20,64,52,33,47,77,40
442,90,31,20,22,69,65,17,1,75,5
443,90,88,35,71,78,97,109,69,82,85
444,89,86,108,74,78,39,70,20,36,94
445,96,64,50,8,31,55,65,66,58,109
446,106,69,94,87,64,19,53,89,108,13
447,31,101,80,59,13,24,32,67,1,16
448,74,101,87,104,59,107,40,30,31,110
449,94,92,64,89,79,86,19,5,72,74
450,19,106,49,75,6,56,92,81,73,74
451,47,65,15,8,96,75,109,45,1,71
452,96,8,94,32,64,68,31,5,100,46
453,9,57,89,94,84,96,37,13,41,24
454,52,40,24,104,94,36,66,3,34,96
455,69,43,12,82,19,94,101,34,88,30
456,31,101,32,96,89,91,106,38,26,100
457,59,10,29,13,52,44,78,32,75,66
458,64,3,69,35,32,110,39,5,81,17
459,12,76,1,15,99,101,92,17,29,39
460,64,77,72,66,8,82,30,59,97,40
461,94,64,69,96,8,32,39,74,82,19
462,76,4,64,5,6,94,104,74,89,109
463,39,82,74,54,20,29,67,61,66,34
464,3,9,91,75,29,76,34,65,19,42
465,10,90,64,65,96,32,30,3,15,110
466,25,75,15,41,29,64,34,1,2,99
467,64,71,6,36,43,29,34,47,26,50
468,29,60,94,13,69,64,50,49,47,109
469,49,4,40,52,94,64,19,69,55,56
470,101,71,75,63,107,20,13,94,82,87
471,82,107,104,15,92,69,32,72,79,19
472,94,34,81,57,62,31,13,5,40,3
473,44,39,22,76,103,55,94,19,27,86
474,40,8,11,56,70,59,25,95,9,75
475,49,1,35,20,32,15,47,29,40,31
476,3,88,70,81,71,4,104,64,47,72
477,22,91,66,42,64,71,85,54,46,21
478,40,86,82,15,44,64,104,54,1,3
479,74,20,46,47,57,81,65,69,67,77
480,1,64,8,95,68,100,15,43,7,31
481,84,76,32,62,67,49,75,74,31,10
482,34,66,1,57,94,47,40,74,71,24
483,91,59,101,15,69,104,56,31,102,41
484,8,96,75,74,106,40,94,24,27,104
485,42,97,51,64,1,92,27,96,41,15
486,70,74,58,90,29,93,67,32,81,84
487,71,74,82,57,76,81,20,29,15,70
488,88,72,109,15,96,91,31,94,45,3
489,94,20,91,11,82,101,64,93,19,71
490,64,74,57,58,55,31,40,94,34,66
491,8,74,19,28,99,20,69,71,66,64
492,68,45,20,44,71,5,38,32,86,35
493,67,74,103,11,104,54,23,20,22,1
494,27,6,96,51,12,76,24,64,57,86
495,101,40,42,75,33,88,67,11,24,3
496,15,31,58,40,9,32,64,11,35,26
497,86,54,3,105,36,89,34,1,100,64
498,104,34,67,74,10,66,19,72,94,64
499,42,19,3,31,81,101,75,64,66,5
500,98,35,52,67,69,13,3,109,82,88
501,15,62,86,22,30,72,90,89,101,70
502,3,89,65,73,26,22,18,64,108,59
503,57,8,67,15,16,87,103,59,52,82
504,47,65,64,74,52,69,107,72,3,49
505,17,60,36,55,20,29,75,108,33,59
506,104,89,1,94,60,91,55,57,16,80
507,107,31,103,44,24,5,12,64,101,96
508,8,110,57,40,24,69,42,75,27,38
509,75,44,71,86,20,24,12,3,89,101
510,90,59,54,74,81,64,60,37,3,89
511,11,75,71,94,10,15,6,8,3,19
512,13,76,55,64,6,58,97,20,84,59
513,75,29,24,69,8,25,76,101,51,64
514,2,41,74,91,3,73,94,101,40,68
515,13,73,101,39,96,58,75,29,3,82
516,60,94,71,76,15,86,19,47,72,32
517,32,86,44,69,55,96,39,102,104,15
518,15,94,4,27,59,20,58,72,91,37
519,89,108,81,46,5,39,19,24,94,71
520,25,13,31,69,29,95,27,32,15,10
521,16,104,27,2,19,76,96,8,15,72
522,104,15,71,75,74,53,76,94,26,88
523,64,57,31,32,42,107,82,12,86,46
524,54,55,24,64,69,16,1,8,52,19
525,30,64,91,92,72,109,96,103,55,105
526,91,82,102,15,39,24,86,51,1,67
527,29,69,104,96,32,24,64,92,39,82
528,47,83,15,96,69,106,24,19,3,36
529,64,97,101,86,107,38,31,72,24,12
530,29,40,69,42,34,1,81,8,44,15
531,25,90,81,42,8,3,96,74,12,105
532,66,64,70,69,110,39,17,77,41,82
533,52,96,34,89,61,94,75,93,40,74
534,74,69,105,32,60,17,66,27,38,89
535,48,90,101,81,53,35,71,32,29,5
536,58,96,75,11,86,64,29,107,44,39
537,47,71,6,92,3,39,57,31,41,17
538,3,40,1,42,64,72,88,68,96,16
539,101,59,110,15,26,72,68,64,7,60
540,3,1,75,19,67,24,98,109,85,16
541,15,49,69,39,107,109,4,1,16,96
542,64,94,91,59,72,32,75,39,24,82
543,1,109,24,19,47,64,54,92,57,48
544,15,101,104,20,14,32,1,47,64,94
545,91,31,77,6,71,25,21,96,36,86
546,34,74,82,52,96,20,42,68,66,65
547,53,29,61,6,32,8,24,72,38,104
548,36,17,65,50,69,86,35,82,53,32
549,24,33,3,54,65,62,21,74,103,101
550,22,97,24,89,74,54,44,96,64,82
551,30,11,93,33,34,20,29,15,76,32
552,64,69,72,97,55,75,62,1,3,101
553,54,65,40,13,110,49,3,74,69,28
554,72,21,26,89,65,67,64,3,6,1
555,83,64,86,65,104,34,1,12,96,91
556,21,92,6,15,48,64,40,1,94,55
557,67,34,40,55,1,11,86,35,3,15
558,82,24,3,52,10,64,101,38,96,57
559,71,47,1,67,74,109,110,81,76,29
560,108,50,57,72,15,64,82,101,69,76
561,8,15,11,47,91,108,18,13,92,82
562,65,74,96,3,40,15,47,67,79,86
563,30,52,82,94,91,25,26,3,17,20
564,64,109,41,15,29,5,55,75,39,47
565,29,93,64,32,76,91,1,39,48,20
566,65,24,110,25,80,64,89,55,90,47
567,76,106,49,36,68,71,92,101,15,54
568,2,75,7,82,19,28,46,22,40,64
569,53,19,83,74,106,20,64,82,88,90
570,64,74,32,106,104,70,82,75,97,51
571,94,44,96,15,72,6,3,18,48,53
572,3,71,49,86,90,16,69,37,24,51
573,3,11,54,24,77,67,82,104,40,73
574,8,57,101,24,39,100,32,31,50,104
575,13,40,64,65,29,36,48,53,8,66
576,3,64,41,39,52,54,74,31,40,60
577,1,66,69,15,94,67,74,19,104,72
578,35,110,8,82,40,71,11,62,94,19
579,12,11,59,94,15,31,34,3,81,24
580,10,32,19,64,65,15,75,67,17,86
581,3,86,64,101,58,32,72,57,24,67
582,61,74,32,7,11,9,107,36,103,70
583,40,19,68,72,99,76,64,96,91,94
584,109,31,3,98,64,54,19,15,72,97
585,88,76,74,57,32,104,75,71,82,64
586,31,64,39,36,19,52,90,1,11,107
587,66,11,75,70,6,19,42,22,32,3
588,86,64,32,94,74,39,65,76,81,110
589,68,31,83,74,86,102,108,1,109,96
590,57,24,12,78,61,3,15,82,19,87
591,17,39,74,77,32,52,8,11,75,66
592,91,49,51,65,32,78,34,44,72,59
593,32,3,55,35,102,70,71,62,1,50
594,39,86,32,5,55,27,64,28,66,4
595,43,39,83,26,65,34,97,72,89,68
596,69,57,15,74,39,40,33,8,35,1
597,19,8,5,69,74,48,97,73,94,66
598,86,3,55,45,20,75,65,39,52,40
599,75,98,58,96,70,64,102,5,35,92
600,71,59,65,41,64,106,40,24,74,66
601,42,19,8,96,75,40,34,10,82,64
602,71,15,31,32,4,20,69,8,75,59
603,67,92,55,88,107,70,98,15,22,69
604,8,88,96,86,17,28,64,1,50,25
605,74,99,110,76,71,39,106,58,24,47
606,44,65,74,42,103,3,31,66,76,51
607,52,72,13,4,32,54,103,88,16,37
608,8,13,7,64,55,81,17,71,32,97
609,72,86,66,64,23,6,74,76,49,94
610,89,64,40,97,15,82,8,33,75,108
611,82,10,68,94,54,64,5,4,76,15
612,91,38,11,90,82,69,65,99,58,57
613,74,59,42,21,82,39,84,94,81,15
614,83,52,40,75,65,110,34,91,105,6
615,15,54,60,37,109,22,64,74,88,21
616,41,109,65,67,24,42,103,16,31,32
617,81,66,35,74,8,31,94,95,26,6
618,27,64,13,4,81,40,1,48,15,86
619,106,15,104,26,8,55,19,13,11,66
620,15,16,1,66,71,67,58,64,3,109
621,37,89,20,25,96,3,81,59,76,58
622,60,8,5,76,55,96,39,72,11,52
623,72,101,55,23,69,49,64,20,98,108
624,96,34,89,91,29,8,24,76,20,32
625,57,101,86,108,64,107,33,34,39,82
626,49,76,16,64,94,31,32,3,103,1
627,64,95,75,101,94,32,69,81,31,8
628,81,15,69,72,29,31,87,97,22,64
629,34,90,50,62,31,96,22,87,11,52
630,44,8,17,60,69,94,65,72,1,86
631,32,66,34,107,1,109,81,67,31,91
